     u      w
-14.6987 -9.5089
-13.0582 1.8239
5.2903 -0.4743
7.0212 -0.0683
-6.4506 -16.0416
-6.6458 -11.3942
-5.4132 -13.1408
-23.5851 -21.1649
-10.9895 -10.7266
-10.1545 7.6231
15.0923 2.0650
0.0506 4.4606
5.6403 9.3712
5.1725 2.3544
-1.2074 1.3209
-4.6678 3.5073
0.5688 -0.0975
0.9983 -2.7920
4.6027 4.1514
-0.1222 -1.2010
1.5573 0.9983
-0.4637 0.4597
-7.4947 -3.2331
-4.0782 -1.8481
4.3585 1.0276
0.6628 -3.8604
1.0961 1.4195
-2.4707 6.7863
3.3975 6.3731
-2.9430 0.7714
-1.2331 -5.5874
1.1964 -1.1718
10.0651 -3.6792
5.0519 0.0727
-0.3922 -4.4093
0.9700 -0.8934
0.3835 -0.9460
6.6679 0.5220
-1.3007 -2.1482
-4.9660 -0.1417
2.5774 -1.2179
1.6682 -0.4249
-3.7966 0.0892
1.1551 6.5112
2.5616 0.1607
2.2945 0.0906
-1.5554 5.6371
1.7146 -6.8502
1.9874 3.1332
-1.1410 -2.7712
-0.0147 0.7251
1.5499 -1.2994
1.4576 -2.0426
1.7765 -2.5895
0.8199 -3.5733
-1.9618 3.2681
-0.6456 -3.3478
-0.1649 0.3972
-0.6315 -0.9005
1.6785 2.9943
-2.9758 0.8209
-2.2047 -4.1716
-0.3881 -0.9271
-5.1429 -3.3548
-1.3177 -1.7574
-2.6029 2.6241
4.7976 0.6645
-7.6694 0.2935
2.9663 -4.2855
-2.0101 1.7289
0.3021 0.2024
-2.1939 2.1022
1.2575 -2.5617
-0.6592 -1.8305
1.4539 -1.2181
1.1033 4.1158
-2.4653 -1.7256
1.0067 6.4907
4.1410 -2.6605
7.8508 5.0023
0.7267 1.0299
-1.4904 1.8669
-2.6377 -1.8617
0.5267 1.5300
-2.9990 0.7452
1.5078 2.2002
-3.6100 -5.0342
2.0102 4.9793
2.3679 2.9737
0.6131 -3.7202
1.1569 -4.1924
-3.3322 -5.1188
-2.9131 -5.1952
-1.5988 -6.4875
1.9341 -0.6286
2.1017 7.1263
1.8855 0.8091
1.0509 0.6401
1.3150 -3.7057
-0.6298 4.7080
-2.3349 -2.3286
-1.8758 -1.8273
2.2659 -1.8444
-2.4823 -2.4597
-4.0365 -5.2063
0.3062 -0.6505
-1.6386 -4.5439
4.6444 1.3789
-3.6651 2.3749
0.7661 -0.0839
-2.9790 -3.9308
-1.6587 4.9426
-1.3462 -0.9025
-0.1265 -3.8790
4.6885 4.5307
3.1009 -0.7667
3.8562 4.0232
4.2657 1.7755
-0.3705 -1.1937
-2.4606 0.9418
-2.5669 -1.5887
0.2504 0.1177
2.2349 -1.6470
0.1682 -3.2433
0.3493 1.6510
2.0253 2.3345
4.3339 -0.8049
-0.5996 0.5790
1.7476 -0.1032
6.1158 1.7973
6.3068 2.7951
3.8755 4.3329
6.2656 -2.3193
0.9990 6.5319
-2.8800 -2.3557
-1.5005 -3.7177
-1.7622 -5.1668
-1.1859 2.5201
-4.1093 -2.9193
0.8526 -1.5524
-3.2809 10.9180
4.0386 -0.0009
-2.8539 -2.1866
0.7634 -0.8716
-4.4579 -2.1541
-3.9309 -1.4910
-4.2141 -3.7421
-0.3505 -2.7504
-1.8156 -0.8562
-3.1524 -2.4833
-7.9884 -2.4699
-0.4872 -6.8541
2.9448 -3.5487
4.8339 -5.1072
-4.7868 -3.6131
-2.5425 -9.9968
-2.3297 -0.2023
3.5162 -0.6513
0.2534 -1.9789
4.2921 4.2135
2.8718 -2.2748
1.6177 -7.4420
-0.8084 4.4694
0.3409 5.0171
-3.0374 -1.3126
3.2650 -0.1601
0.1377 0.5875
4.1181 -5.6753
-1.1679 -4.2053
-0.3011 7.2779
1.2590 -3.3552
-5.6313 -2.8148
-0.8891 2.1333
-3.2137 -5.3921
5.8891 11.1105
5.6045 -5.1515
1.1623 -3.4802
3.7800 -2.9891
-6.7370 -1.8520
-6.5448 -1.1576
3.2812 -3.7688
-6.5078 5.7418
-1.1522 -1.4900
2.2626 -1.0074
2.3970 -5.7532
3.7063 -0.3494
3.6022 4.4920
-0.0687 3.6496
7.8300 2.5190
1.4043 0.8017
-3.1404 -3.8143
-1.5967 -0.8766
-1.4042 -0.2479
1.3061 -0.9369
-1.1860 0.8925
1.9763 2.7817
7.1448 -1.2744
1.7635 0.2309
1.4515 -0.1380
1.8937 2.8275
-0.1882 -4.8605
5.0377 9.8922
3.5037 0.2142
3.5222 0.9178
2.8711 3.8395
2.0487 6.3477
-2.0816 3.7680
-6.5742 5.9680
4.4466 3.1648
3.7962 -1.5203
-1.3700 3.6951
-7.7991 -0.6361
-0.1411 -5.6071
-4.6009 1.7446
0.2684 -1.4575
0.6140 -2.5119
-1.7003 1.5240
-4.9770 -3.4391
-0.6495 1.6588
4.8354 -1.2748
6.1809 0.8427
3.6348 -1.6740
-0.7154 -4.3015
-1.6320 6.2898
1.9945 0.4824
-8.5143 -0.1205
-4.1123 0.4146
1.8036 3.8345
-4.8002 -0.4079
-1.8558 1.5915
-1.9889 1.9593
1.9101 3.1784
1.5628 -3.7255
-0.8698 -2.6668
-1.0558 -4.2695
1.0007 -2.6964
1.3392 0.4098
-3.2131 5.5456
-2.5891 0.4158
-5.7215 1.4728
-1.2427 -3.0836
0.3393 4.0987
5.2466 -4.5747
-2.5226 -2.9554
-4.7231 -0.9414
0.4227 -2.8380
